V,J_Exp,J_Fit
0.0,32.13020833,32.19883826463581
0.0199997,32.171875,32.18871577755165
0.0399999,32.29427083,32.17859285235976
0.06,32.171875,32.16846970540177
0.0799999,32.09375,32.15834625874144
0.0999998,32.1640625,32.14822222191609
0.1200004,32.17317708,32.13809696198413
0.1399999,32.26171875,32.12797098019849
0.16,32.1953125,32.11784281231906
0.1799999,32.05338542,32.10771197498865
0.1999999,32.04296875,32.09757700848928
0.22,32.02213542,32.08743598768055
0.24,32.15755208,32.07728618022188
0.26,32.12890625,32.067123364045536
0.279999,31.953125,32.05694190831849
0.3,32.06510417,32.04673124438175
0.32,32.09765625,32.03647959375098
0.34,31.8671875,32.026166854665256
0.36,32.03125,32.015764180495545
0.38,32.02734375,32.00522909334415
0.4,31.98307292,31.9944990315194
0.42,31.8671875,31.983481829624814
0.44,32.00130208,31.972041657984867
0.46,31.9140625,31.95997822304184
0.48,31.953125,31.946995928469857
0.499999,31.91796875,31.932658760589128
0.52,31.92578125,31.916317919526254
0.54,31.88671875,31.897016251001663
0.559999,31.81640625,31.873325261187016
0.58,31.80729167,31.84310121302081
0.6,31.703125,31.803120477238338
0.619999,31.86848958,31.748466829482442
0.64,31.72265625,31.67153467429408
0.66,31.609375,31.56039792834821
0.68,31.42838542,31.39590841686916
0.7,31.21875,31.14666652034056
0.72,30.76822917,30.76012772936024
0.74,30.1640625,30.147377426160833
0.76,29.1640625,29.15925806973411
0.78,27.49479167,27.556520740061817
0.8,24.97526042,24.99325101301234
0.82,21.04817708,21.057007690388392
0.84,15.41927083,15.394417214009195
0.86,7.87109375,7.8543745901130375
0.88,-1.490885417,-1.4767633472858768
