V,J_Exp,J_Fit
0.0,32.13020833,32.221326901165604
0.0199997,32.171875,32.208945850143316
0.0399999,32.29427083,32.196564475685875
0.06,32.171875,32.18418314091758
0.0799999,32.09375,32.171801894462526
0.0999998,32.1640625,32.15942059128378
0.1200004,32.17317708,32.147038764113425
0.1399999,32.26171875,32.13465747309099
0.16,32.1953125,32.122275579182094
0.1799999,32.05338542,32.109893439258485
0.1999999,32.04296875,32.09751064641981
0.22,32.02213542,32.08512684718491
0.24,32.15755208,32.07274160044769
0.26,32.12890625,32.0603539412907
0.279999,31.953125,32.047963045920554
0.3,32.06510417,32.03556474741059
0.32,32.09765625,32.02315721464814
0.34,31.8671875,32.01073392595981
0.36,32.03125,31.998285439555513
0.38,32.02734375,31.98579664568884
0.4,31.98307292,31.97324335387229
0.42,31.8671875,31.96058681459222
0.44,32.00130208,31.94776491458586
0.46,31.9140625,31.934678003993458
0.48,31.953125,31.921166038631295
0.499999,31.91796875,31.90697236065821
0.52,31.92578125,31.891680123244914
0.54,31.88671875,31.87462214292136
0.559999,31.81640625,31.854715409151744
0.58,31.80729167,31.83019784930076
0.6,31.703125,31.79820703474949
0.619999,31.86848958,31.754055761103018
0.64,31.72265625,31.690029628022273
0.66,31.609375,31.59341139095382
0.68,31.42838542,31.443103545828432
0.7,31.21875,31.2040681039197
0.72,30.76822917,30.818248399384704
0.74,30.1640625,30.190483576357273
0.76,29.1640625,29.16878392263762
0.78,27.49479167,27.52251997376142
0.8,24.97526042,24.93224216861232
0.82,21.04817708,21.01727998569055
0.84,15.41927083,15.420169367623343
0.86,7.87109375,7.9183519381509395
0.88,-1.490885417,-1.5131199336422219
