Voltage_V,CurrentDensity_mA_cm2
0.0,32.13020833
0.0199997,32.171875
0.0399999,32.29427083
0.06,32.171875
0.0799999,32.09375
0.0999998,32.1640625
0.1200004,32.17317708
0.1399999,32.26171875
0.16,32.1953125
0.1799999,32.05338542
0.1999999,32.04296875
0.22,32.02213542
0.24,32.15755208
0.26,32.12890625
0.279999,31.953125
0.3,32.06510417
0.32,32.09765625
0.34,31.8671875
0.36,32.03125
0.38,32.02734375
0.4,31.98307292
0.42,31.8671875
0.44,32.00130208
0.46,31.9140625
0.48,31.953125
0.499999,31.91796875
0.52,31.92578125
0.54,31.88671875
0.559999,31.81640625
0.58,31.80729167
0.6,31.703125
0.619999,31.86848958
0.64,31.72265625
0.66,31.609375
0.68,31.42838542
0.7,31.21875
0.72,30.76822917
0.74,30.1640625
0.76,29.1640625
0.78,27.49479167
0.8,24.97526042
0.82,21.04817708
0.84,15.41927083
0.86,7.87109375
0.88,-1.490885417
