V,J_Exp,J_Fit
-0.1,17.95442708,17.991778862360263
-0.0799998,17.91796875,17.985717183377417
-0.0599997,17.96223958,17.979655534670627
-0.0400002,17.94140625,17.973594067766935
-0.02,17.96484375,17.967532388642095
2e-07,17.94921875,17.96147070942572
0.02,17.9453125,17.955409151311844
0.0399999,17.90364583,17.94934756270558
0.0600001,17.90885417,17.943285882913518
0.0799999,17.88671875,17.937224323982765
0.0999999,17.96614583,17.93116270390927
0.1199999,17.94401042,17.925101083088606
0.14,17.90364583,17.919039430899613
0.16,17.87890625,17.912977807514302
0.1800001,17.91145833,17.906916151686104
0.2,17.9140625,17.900854553444997
0.22,17.92708333,17.894792920597425
0.24,17.87890625,17.88873128165059
0.26,17.89973958,17.882669634049027
0.279999,17.90755208,17.876608277249943
0.3,17.89583333,17.870546296857743
0.32,17.88671875,17.864484594821246
0.34,17.890625,17.85842285769663
0.36,17.92838542,17.852361070782628
0.38,17.86328125,17.846299213218373
0.399999,17.87109375,17.84023755850368
0.42,17.89322917,17.834175155331764
0.44,17.87109375,17.828112853403074
0.46,17.85677083,17.822050265041142
0.48,17.84895833,17.815987270234228
0.5,17.88151042,17.80992369868644
0.52,17.82421875,17.803859308748258
0.54,17.796875,17.79779375751815
0.56,17.83333333,17.79172655841508
0.58,17.85286458,17.785657020970348
0.6,17.75390625,17.779584165385376
0.62,17.77473958,17.773506601275624
0.64,17.7890625,17.767422355581985
0.66,17.80859375,17.761328628326783
0.68,17.78776042,17.75522144593543
0.699999,17.80729167,17.749095476029733
0.72,17.80729167,17.742941794201947
0.74,17.72005208,17.736749961082186
0.759999,17.70833333,17.730503858280116
0.78,17.69401042,17.72417965113488
0.8,17.6875,17.71774577740038
0.82,17.67578125,17.711155762006765
0.84,17.6953125,17.704344031985
0.86,17.65234375,17.697217406624574
0.88,17.62239583,17.689643412925893
0.899999,17.71875,17.68143403303039
0.92,17.58333333,17.672319686235877
0.94,17.58072917,17.661919307041035
0.96,17.58072917,17.64968679709382
0.98,17.59895833,17.63484203487251
1.0,17.58984375,17.616267126454222
1.02,17.57291667,17.59235537448488
1.04,17.49609375,17.56078872173774
1.06,17.4609375,17.518206613498517
1.08,17.43489583,17.45970770547608
1.1,17.31119792,17.378090415930842
1.12,17.26432292,17.262679456352267
1.139999,17.16276042,17.097497289896307
1.16,16.94661458,16.858298544583285
1.18,16.58984375,16.508000662299487
1.2,16.05859375,15.989095508499574
1.22,15.29036458,15.21179162989594
1.24,14.05338542,14.035620992141396
1.26,12.1484375,12.242860012657033
1.28,9.36328125,9.505123780441433
1.3,5.203125,5.353715809247288
1.32,-0.91015625,-0.8190288612732298
1.34,-9.404947917,-9.688658381754882
1.36,-21.29947917,-21.84626158593273
1.38,-38.48567708,-37.629539816276896
1.4,-56.74869792,-57.04628971036898
