Voltage_V,CurrentDensity_mA_cm2
-0.1,-17.95442708
-0.0799998,-17.91796875
-0.0599997,-17.96223958
-0.0400002,-17.94140625
-0.02,-17.96484375
2.00E-07,-17.94921875
0.02,-17.9453125
0.0399999,-17.90364583
0.0600001,-17.90885417
0.0799999,-17.88671875
0.0999999,-17.96614583
0.1199999,-17.94401042
0.14,-17.90364583
0.16,-17.87890625
0.1800001,-17.91145833
0.2,-17.9140625
0.22,-17.92708333
0.24,-17.87890625
0.26,-17.89973958
0.279999,-17.90755208
0.3,-17.89583333
0.32,-17.88671875
0.34,-17.890625
0.36,-17.92838542
0.38,-17.86328125
0.399999,-17.87109375
0.42,-17.89322917
0.44,-17.87109375
0.46,-17.85677083
0.48,-17.84895833
0.5,-17.88151042
0.52,-17.82421875
0.54,-17.796875
0.56,-17.83333333
0.58,-17.85286458
0.6,-17.75390625
0.62,-17.77473958
0.64,-17.7890625
0.66,-17.80859375
0.68,-17.78776042
0.699999,-17.80729167
0.72,-17.80729167
0.74,-17.72005208
0.759999,-17.70833333
0.78,-17.69401042
0.8,-17.6875
0.82,-17.67578125
0.84,-17.6953125
0.86,-17.65234375
0.88,-17.62239583
0.899999,-17.71875
0.92,-17.58333333
0.94,-17.58072917
0.96,-17.58072917
0.98,-17.59895833
1,-17.58984375
1.02,-17.57291667
1.04,-17.49609375
1.06,-17.4609375
1.08,-17.43489583
1.1,-17.31119792
1.12,-17.26432292
1.139999,-17.16276042
1.16,-16.94661458
1.18,-16.58984375
1.2,-16.05859375
1.22,-15.29036458
1.24,-14.05338542
1.26,-12.1484375
1.28,-9.36328125
1.3,-5.203125
1.32,0.91015625
1.34,9.404947917
1.36,21.29947917
1.38,38.48567708
1.4,56.74869792
